name,rating,tags,Game_ID
Garry's Mod,Overwhelmingly Positive,Sandbox,4000
Garry's Mod,Overwhelmingly Positive,Multiplayer,4000
Garry's Mod,Overwhelmingly Positive,Funny,4000
Garry's Mod,Overwhelmingly Positive,Moddable,4000
Garry's Mod,Overwhelmingly Positive,Building,4000
APB Reloaded,Mixed,Free to Play,113400
APB Reloaded,Mixed,Open World,113400
APB Reloaded,Mixed,Action,113400
APB Reloaded,Mixed,Character Customization,113400
APB Reloaded,Mixed,Multiplayer,113400
Warframe,Very Positive,Free to Play,230410
Warframe,Very Positive,Action,230410
Warframe,Very Positive,Co-op,230410
Warframe,Very Positive,Multiplayer,230410
Warframe,Very Positive,Third-Person Shooter,230410
Gear Up,Mostly Positive,Free to Play,214420
Gear Up,Mostly Positive,Multiplayer,214420
Gear Up,Mostly Positive,Robots,214420
Gear Up,Mostly Positive,Action,214420
Gear Up,Mostly Positive,Shooter,214420
GunZ 2: The Second Duel,Mixed,Free to Play,242720
GunZ 2: The Second Duel,Mixed,Action,242720
GunZ 2: The Second Duel,Mixed,Multiplayer,242720
GunZ 2: The Second Duel,Mixed,Third-Person Shooter,242720
GunZ 2: The Second Duel,Mixed,Hack and Slash,242720
PAYDAY 2,Very Positive,Co-op,218620
PAYDAY 2,Very Positive,Action,218620
PAYDAY 2,Very Positive,FPS,218620
PAYDAY 2,Very Positive,Heist,218620
PAYDAY 2,Very Positive,Online Co-Op,218620
Rust,Very Positive,Survival,252490
Rust,Very Positive,Crafting,252490
Rust,Very Positive,Multiplayer,252490
Rust,Very Positive,Open World,252490
Rust,Very Positive,Building,252490
Rocket League,Very Positive,Multiplayer,252950
Rocket League,Very Positive,Soccer,252950
Rocket League,Very Positive,Competitive,252950
Rocket League,Very Positive,Sports,252950
Rocket League,Very Positive,Racing,252950
Arma 3,Very Positive,Military,107410
Arma 3,Very Positive,Simulation,107410
Arma 3,Very Positive,Multiplayer,107410
Arma 3,Very Positive,Realistic,107410
Arma 3,Very Positive,Open World,107410
Max: The Curse of Brotherhood,Very Positive,Adventure,255390
Max: The Curse of Brotherhood,Very Positive,Platformer,255390
Max: The Curse of Brotherhood,Very Positive,Puzzle,255390
Max: The Curse of Brotherhood,Very Positive,Action,255390
Max: The Curse of Brotherhood,Very Positive,Singleplayer,255390
Sniper Elite: Nazi Zombie Army 2,Very Positive,Zombies,247910
Sniper Elite: Nazi Zombie Army 2,Very Positive,Action,247910
