name,playtime,Game_ids,Steam_id
Day of Defeat: Source,0,300,76561198034646814
Half-Life 2,1734,220,76561198057012202
Half-Life 2: Lost Coast,28,340,76561198057012202
Counter-Strike: Source,5378,240,76561198057012202
Half-Life: Source,36,280,76561198057012202
Half-Life Deathmatch: Source,0,360,76561198057012202
Team Fortress Classic,8,20,76561198057012202
Half-Life: Opposing Force,336,50,76561198057012202
Half-Life,875,70,76561198057012202
Half-Life: Blue Shift,184,130,76561198057012202
Counter-Strike,6,10,76561198057012202
Day of Defeat,0,30,76561198057012202
Deathmatch Classic,0,40,76561198057012202
Ricochet,10,60,76561198057012202
Counter-Strike: Condition Zero,0,80,76561198057012202
Counter-Strike: Condition Zero Deleted Scenes,0,100,76561198057012202
Red Orchestra: Ostfront 41-45,11,1200,76561198057012202
Mare Nostrum,4,1230,76561198057012202
Darkest Hour: Europe '44-'45,1,1280,76561198057012202
Half-Life 2: Deathmatch,0,320,76561198057012202
Half-Life 2: Episode One,480,380,76561198057012202
Shadowgrounds,0,2500,76561198057012202
The Ship,3,2400,76561198057012202
The Ship Single Player,0,2420,76561198057012202
The Ship Tutorial,0,2430,76561198057012202
Advent Rising,0,3800,76561198057012202
Dark Messiah of Might & Magic Single Player,0,2100,76561198057012202
Dark Messiah of Might & Magic Multi-Player,0,2130,76561198057012202
Prey,853,3970,76561198057012202
Garry's Mod,6482,4000,76561198057012202
Vampire: The Masquerade - Bloodlines,0,2600,76561198057012202
Deus Ex: Game of the Year Edition,62,6910,76561198057012202
Deus Ex: Invisible War,0,6920,76561198057012202
Project: Snowblind,0,7010,76561198057012202
Rogue Trooper,0,7020,76561198057012202
Geometry Wars: Retro Evolved,0,8400,76561198057012202
Lost Planet: Extreme Condition,469,6510,76561198057012202
HeXen: Beyond Heretic,0,2360,76561198057012202
HeXen: Deathkings of the Dark Citadel,0,2370,76561198057012202
Heretic: Shadow of the Serpent Riders,0,2390,76561198057012202
HeXen II,70,9060,76561198057012202
Rome: Total War,0,4760,76561198057012202
S.T.A.L.K.E.R.: Shadow of Chernobyl,1401,4500,76561198057012202
UFO: Afterlight - Old Version,0,7500,76561198057012202
UFO: Afterlight,0,237950,76561198057012202
Portal,337,400,76561198057012202
Call of Juarez,394,3020,76561198057012202
Max Payne,643,12140,76561198057012202
Max Payne 2: The Fall of Max Payne,408,12150,76561198057012202
Audiosurf,2501,12900,76561198057012202
Assassin's Creed,881,15100,76561198057012202
Tom Clancy's Ghost Recon: Advanced Warfighter,200,13640,76561198057012202
Tom Clancy's Ghost Recon: Advanced Warfighter 2,0,13510,76561198057012202
Space Trader: Merchant Marine,0,11240,76561198057012202
Crysis,504,17300,76561198057012202
Crysis Warhead,239,17330,76561198057012202
Crysis Wars,0,17340,76561198057012202
The Witcher: Enhanced Edition,4719,20900,76561198057012202
City Life 2008,0,4460,76561198057012202
Left 4 Dead,418,500,76561198057012202
Bully: Scholarship Edition,320,12200,76561198057012202
Saints Row 2,1707,9480,76561198057012202
Tomb Raider: Underworld,0,8140,76561198057012202
Legendary,59,16730,76561198057012202
Dead Space,1499,17470,76561198057012202
Mirror's Edge,364,17410,76561198057012202
Penumbra: Black Plague,0,22120,76561198057012202
Penumbra: Requiem,0,22140,76561198057012202
Perimeter 2: New Earth,0,12420,76561198057012202
The Last Remnant,0,23310,76561198057012202
Penumbra: Overture,0,22180,76561198057012202
Burnout Paradise: The Ultimate Box,133,24740,76561198057012202
Judge Dredd: Dredd vs Death,0,3710,76561198057012202
Zeno Clash,0,22200,76561198057012202
King's Bounty: The Legend,0,25900,76561198057012202
Prototype,47,10150,76561198057012202
The Elder Scrolls IV: Oblivion ,746,22330,76561198057012202
The Elder Scrolls III: Morrowind,816,22320,76561198057012202
Spore,387,17390,76561198057012202
Spore: Galactic Adventures,0,24720,76561198057012202
Call of Juarez: Bound in Blood,142,21980,76561198057012202
Killing Floor,0,1250,76561198057012202
Killing Floor Mod: Defence Alliance 2,0,35420,76561198057012202
Trine,78,35700,76561198057012202
Bionic Commando Rearmed,0,21680,76561198057012202
Bad Rats,80,34900,76561198057012202
Bionic Commando,0,21670,76561198057012202
East India Company,0,25930,76561198057012202
Red Faction,224,20530,76561198057012202
Red Faction II,17,20550,76561198057012202
Fallout,1287,38400,76561198057012202
Fallout 2,0,38410,76561198057012202
Fallout Tactics,0,38420,76561198057012202
Crash Time II,44,11390,76561198057012202
"Time Gentlemen, Please!",0,37400,76561198057012202
"Ben There, Dan That!",0,37420,76561198057012202
Resident Evil 5 / Biohazard 5,0,21690,76561198057012202
Nation Red,0,39800,76561198057012202
Section 8,0,38220,76561198057012202
Red Faction: Guerrilla Steam Edition,457,20500,76561198057012202
Red Faction Guerrilla Re-Mars-tered,84,667720,76561198057012202
Risen,25,40300,76561198057012202
Command and Conquer: Red Alert 3 - Uprising,0,24800,76561198057012202
Metal Drift,58,32200,76561198057012202
Tropico 3 - Steam Special Edition,69,23490,76561198057012202
Magnetis,0,37500,76561198057012202
Serious Sam HD: The First Encounter,325,41000,76561198057012202
Serious Sam Fusion 2017 (beta),0,564310,76561198057012202
Aliens vs. Predator,509,10680,76561198057012202
DiRT 2,0,12840,76561198057012202
Fallout 3 - Game of the Year Edition,1718,22370,76561198057012202
Zero Gear,2,18820,76561198057012202
Secret of the Magic Crystal,121,45100,76561198057012202
Greed: Black Border,0,46400,76561198057012202
Aliens versus Predator Classic 2000,0,3730,76561198057012202
Supreme Commander 2,0,40100,76561198057012202
Far Cry,299,13520,76561198057012202
Far Cry 2,118,19900,76561198057012202
Shadowgrounds: Survivor,0,11200,76561198057012202
Mount & Blade,0,22100,76561198057012202
King's Bounty: Armored Princess,0,3170,76561198057012202
Cryostasis,104,7850,76561198057012202
Sonic and SEGA All Stars Racing,0,34190,76561198057012202
Assassin's Creed II,3227,33230,76561198057012202
Lead and Gold - Gangs of the Wild West,0,42120,76561198057012202
Just Cause 2,1876,8190,76561198057012202
Avencast,0,46410,76561198057012202
Commandos: Behind Enemy Lines,0,6800,76561198057012202
Commandos: Beyond the Call of Duty,0,6810,76561198057012202
Commandos 2: Men of Courage,0,6830,76561198057012202
Commandos 3: Destination Berlin,2,6840,76561198057012202
Tom Clancy's Splinter Cell,441,13560,76561198057012202
Tom Clancy's Splinter Cell: Chaos Theory,11,13570,76561198057012202
Tom Clancy's Splinter Cell: Double Agent,0,13580,76561198057012202
Tom Clancy's Splinter Cell: Conviction,0,33220,76561198057012202
Serious Sam HD: The Second Encounter,19,41010,76561198057012202
Metro 2033,1126,43110,76561198057012202
Flight of the Icarus,0,49800,76561198057012202
Chrome,20,46420,76561198057012202
Chrome: Specforce,0,46430,76561198057012202
Fortix,0,45400,76561198057012202
F.E.A.R.,562,21090,76561198057012202
F.E.A.R.: Extraction Point,267,21110,76561198057012202
F.E.A.R.: Perseus Mandate,356,21120,76561198057012202
Mafia II,1095,50130,76561198057012202
Greed Corp,0,48950,76561198057012202
Grand Theft Auto III,263,12100,76561198057012202
Grand Theft Auto: Vice City,108,12110,76561198057012202
Grand Theft Auto: San Andreas,2002,12120,76561198057012202
Grand Theft Auto,10,12170,76561198057012202
Grand Theft Auto 2,19,12180,76561198057012202
Grand Theft Auto IV,16,12210,76561198057012202
Grand Theft Auto: Episodes from Liberty City,0,12220,76561198057012202
Grand Theft Auto III,0,12230,76561198057012202
Grand Theft Auto: Vice City,0,12240,76561198057012202
Grand Theft Auto: San Andreas,0,12250,76561198057012202
Numen: Contest of Heroes,8,60800,76561198057012202
Kane & Lynch 2: Dog Days,0,28000,76561198057012202
Razor2: Hidden Skies,0,34920,76561198057012202
Victoria II,0,42960,76561198057012202
Blade Kitten,0,9940,76561198057012202
Sid Meier's Civilization V,79,8930,76561198057012202
Lara Croft and the Guardian of Light,0,35130,76561198057012202
Hacker Evolution,0,70100,76561198057012202
The Scourge Project: Episode 1 and 2,196,36700,76561198057012202
Scourge: Outbreak,0,227560,76561198057012202
ProtoGalaxy,0,60600,76561198057012202
Blackwell Deception,121,80360,76561198057012202
Dragon Age: Origins - Ultimate Edition,2416,47810,76561198057012202
Crazy Machines 2,0,18400,76561198057012202
Zeit²,0,33390,76561198057012202
LEGO® Harry Potter: Years 1-4,952,21130,76561198057012202
Two Worlds II,0,7520,76561198057012202
Poker Night at the Inventory,127,31280,76561198057012202
Universe Sandbox Legacy,0,72200,76561198057012202
Nail'd,115,40380,76561198057012202
Oddworld: Abe's Oddysee,29,15700,76561198057012202
Oddworld: Abe's Exoddus,0,15710,76561198057012202
Oddworld: Munch's Oddysee,0,15740,76561198057012202
Oddworld: Stranger's Wrath HD,0,15750,76561198057012202
LEGO® Batman™: The Videogame,588,21000,76561198057012202
SEGA Mega Drive & Genesis Classics,0,34270,76561198057012202
A.R.E.S.,96,92300,76561198057012202
Back to the Future: Ep 1 - It's About Time,171,31290,76561198057012202
Back to the Future: Ep 2 - Get Tannen!,144,94500,76561198057012202
Back to the Future: Ep 3 - Citizen Brown,137,94510,76561198057012202
Back to the Future: Ep 4 - Double Visions,136,94520,76561198057012202
Back to the Future: Ep 5 - OUTATIME,130,94530,76561198057012202
Dead Space 2,1120,47780,76561198057012202
Titan Quest,0,4540,76561198057012202
